x,y

114,208
166,237
213,171
133,148
180,236
68.83333333333333,30.166666666666668
85.83333333333333,22.0
60.0,42.166666666666664
373.0,124.0
13.761904761904763,10.523809523809524
11.285714285714286,8.952380952380953
7.476190476190476,16.904761904761905
5.1020408163265305,5.653061224489796
4.032258064516129,4.467741935483871
66.66666666666667,21.833333333333332
32.333333333333336,12.25
64.16666666666667,29.333333333333332
72.5,24.666666666666668
22.5,26.0
-6.0,66.0
31.0,104.0
319.0,109.0
289.0,109.0
259.0,109.0
199.0,109.0
229.0,109.0
199.0,109.0
99.5,54.5
114.5,54.5
45.8,21.8
39.8,21.8
45.8,21.8
45.8,9.8
45.8,15.8
25.444444444444443,8.777777777777779
22.11111111111111,8.777777777777779
25.444444444444443,12.11111111111111
25.444444444444443,8.777777777777779
22.11111111111111,8.777777777777779
25.444444444444443,15.444444444444445
25.444444444444443,18.77777777777778
25.444444444444443,22.11111111111111
25.444444444444443,25.444444444444443
22.11111111111111,25.88888888888889
16.181818181818183,23.40909090909091
39.333333333333336,49.44444444444444
39.333333333333336,49.55555555555556
139.0,395.0
235.0,382.0
71.16666666666667,21.5
71.16666666666667,21.5
76.0,73.16666666666667
76.0,73.16666666666667
308.0,531.0
337.0,66.0
335.0,130.0
25.789473684210527,11.105263157894736
23.31578947368421,16.210526315789473
190.5,116.0
269.5,65.0
202.5,141.5
275.5,93.0
493,83
431,63
309,59
73.0,25.0
255.0,40.5
